id,workUnit,position
1,Inspektorat Jenderal,pusat
2,Ditjen Pendidikan Islam,pusat
3,Ditjen Penyelenggaraan Haji dan Umrah,pusat
4,Ditjen Bimas Islam,pusat
5,Ditjen Bimas Kristen,pusat
6,Ditjen Bimas Katolik,pusat
7,Ditjen Bimas Hindu,pusat
8,Ditjen Bimas Buddha,pusat
9,Balitbang dan Diklat,pusat
10,Kanwil Kemenag Provinsi Aceh,kanwil
11,Kanwil Kemenag Provinsi Sumatera Utara,kanwil
12,Kanwil Kemenag Provinsi Sumatera Barat,kanwil
13,Kanwil Kemenag Provinsi Jambi,kanwil
14,Kanwil Kemenag Provinsi Riau,kanwil
15,Kanwil Kemenag Provinsi Kepulauan Riau,kanwil
16,Kanwil Kemenag Provinsi Sumatera Selatan,kanwil
17,Kanwil Kemenag Provinsi Bengkulu,kanwil
18,Kanwil Kemenag Provinsi Bangka Belitung,kanwil
19,Kanwil Kemenag Provinsi Lampung,kanwil
20,Kanwil Kemenag Provinsi Banten,kanwil
21,Kanwil Kemenag Provinsi DKI Jakarta,kanwil
22,Kanwil Kemenag Provinsi Jawa Barat,kanwil
23,Kanwil Kemenag Provinsi Jawa Tengah,kanwil
24,Kanwil Kemenag Provinsi Yogyakarta,kanwil
25,Kanwil Kemenag Provinsi Jawa Timur,kanwil
26,Kanwil Kemenag Provinsi Bali,kanwil
27,Kanwil Kemenag Provinsi Nusa Tenggara Barat,kanwil
28,Kanwil Kemenag Provinsi Nusa Tenggara Timur,kanwil
29,Kanwil Kemenag Provinsi Kalimantan Barat,kanwil
30,Kanwil Kemenag Provinsi Kalimantan Tengah,kanwil
31,Kanwil Kemenag Provinsi Kalimantan Selatan,kanwil
32,Kanwil Kemenag Provinsi Kalimantan Timur,kanwil
33,Kanwil Kemenag Provinsi Gorontalo,kanwil
34,Kanwil Kemenag Provinsi Sulawesi Utara,kanwil
35,Kanwil Kemenag Provinsi Sulawesi Tengah,kanwil
36,Kanwil Kemenag Provinsi Sulawesi Tenggara,kanwil
37,Kanwil Kemenag Provinsi Sulawesi Selatan,kanwil
38,Kanwil Kemenag Provinsi Sulawesi Barat,kanwil
39,Kanwil Kemenag Provinsi Maluku,kanwil
40,Kanwil Kemenag Provinsi Maluku Utara,kanwil
41,Kanwil Kemenag Provinsi Papua,kanwil
42,Kanwil Kemenag Provinsi Papua Barat,kanwil
43,UIN Malang,PT
44,UIN Jakarta,PT
45,UIN Yogyakarta,PT
46,UIN Alauddin Makassar,PT
47,UIN Sultan Syarif Kasim Pekanbaru,PT
48,UIN Sunan Gunung Djati Bandung,PT
49,UIN Ar-Raniry Banda Aceh,PT
50,UIN Raden Intan Lampung,PT
51,IAIN Batu Sangkar,PT
52,IAIN Walisongo Semarang,PT
53,IAIN Surakarta,PT
54,UIN Sunan Ampel Surabaya,PT
55,IAIN Antasari Banjarmasin,PT
56,IAIN Sumatera Utara,PT
57,IAIN Sulthan Thaha Syaifuddin Jambi,PT
58,IAIN Imam Bonjol Padang,PT
59,STAIN Pontianak,PT
60,STAIN Palu,PT
61,STAIN Bukittinggi,PT
62,STAIN Kediri,PT
63,STAIN Sorong,PT
64,STABN Sriwijaya,PT
65,STAIN Al-Fatah Jayapura,PT
66,Kankemenag Kota Batam,kankemenag
67,Kankemenag Kabupaten Pacitan,kankemenag
68,Kankemenag Kabupaten Bandung Barat,kankemenag
69,Kankemenag Kota Balikpapan,kankemenag
70,Kankemenag Kabupaten Bantul,kankemenag
71,Kankemenag Kabupaten Lampung Timur,kankemenag
72,Kankemenag Kabupaten Maluku Tengah,kankemenag
73,Kankemenag Kabupaten Mojokerto,kankemenag
74,Kankemenag Kabupaten Pasuruan,kankemenag
75,Kankemenag Kabupaten Pohuwato,kankemenag
76,Kankemenag Kota Surabaya,kankemenag
77,Kankemenag Kota Tangerang,kankemenag
78,Kankemenag Kabupaten Bangkalan,kankemenag
